x="682302.375"	y="231383.2969"
x="680256.5"	y="232826.0938"
x="677052.375"	y="236553.2031"
x="680847.375"	y="238862.2969"
x="680466.625"	y="239209.5"
x="679313.375"	y="239224.0938"
x="678174.875"	y="242230.4063"
x="679467.0"	y="242122.4063"
x="680350.5"	y="230679.0938"
x="680217.8125"	y="230771.7031"
x="680046.3125"	y="232869.0"
x="682891.0"	y="233211.0938"
x="681164.0"	y="229351.5"
x="682915.8125"	y="233138.2969"
x="679077.0"	y="231175.9063"
x="691440.0"	y="227370.5938"
x="691356.875"	y="227644.0"
x="689733.3125"	y="228341.0"
x="689459.375"	y="229512.0"
x="688736.1875"	y="229970.5"
x="692738.3125"	y="229150.0938"
x="697576.3125"	y="216238.4063"
x="697866.0"	y="217352.5"
x="698817.3125"	y="219535.2031"
x="699112.375"	y="220439.5"
x="685569.5"	y="224679.0"
x="679358.3125"	y="243007.7969"
x="679220.125"	y="239542.5"
x="679351.6875"	y="237568.5"
x="677842.5"	y="240977.5938"
x="672604.625"	y="239656.5"
x="675864.5"	y="239141.7031"
x="674212.1875"	y="241320.5938"
x="671917.625"	y="240480.7969"
x="672149.3125"	y="240462.7969"
x="674531.0"	y="241545.0"
x="675466.125"	y="243257.2031"
x="669367.125"	y="244681.7031"
x="671160.8125"	y="244089.0"
x="675464.0"	y="245224.9063"
x="668524.125"	y="244728.7969"
x="669218.6875"	y="243799.4063"
x="649714.5"	y="258894.7969"
x="648556.125"	y="258645.2031"
x="648684.5"	y="257343.7969"
x="651243.3125"	y="263297.1875"
x="651560.5"	y="263312.8125"
x="652766.125"	y="263308.6875"
x="654275.375"	y="262535.6875"
x="651607.0"	y="261935.9063"
x="653475.375"	y="260850.9063"
x="654026.6875"	y="261020.7031"
x="654408.0"	y="261204.0938"
x="656696.0"	y="262563.8125"
x="656354.625"	y="259608.2031"
x="656495.8125"	y="260604.5"
x="657719.875"	y="262199.9063"
x="649623.0"	y="265872.6875"
x="649450.1875"	y="264986.5"
x="658455.5"	y="264287.6875"
x="655816.8125"	y="266052.8125"
x="654357.5"	y="266578.0938"
x="653636.625"	y="268073.3125"
x="653420.6875"	y="268172.5938"
x="658553.0"	y="263797.9063"
x="658979.625"	y="267700.1875"
x="656325.375"	y="266665.1875"
x="657195.8125"	y="269900.3125"
x="655863.8125"	y="268935.0938"
x="655046.875"	y="268991.4063"
x="654822.3125"	y="269856.0"
x="700725.3125"	y="218207.5"
x="702676.625"	y="221643.9063"
x="702415.625"	y="223237.9063"
x="701122.3125"	y="225576.5"
x="701057.3125"	y="225567.5"
x="700931.3125"	y="224573.2031"
x="700200.0"	y="222081.2031"
x="699524.875"	y="220394.0"
x="699621.8125"	y="220531.0"
x="699109.125"	y="225506.0"
x="706305.0"	y="214968.4063"
x="709210.125"	y="225843.2031"
x="717352.3125"	y="226201.9063"
x="717654.375"	y="226737.2969"
x="717853.8125"	y="227077.5938"
x="718686.3125"	y="228679.5"
x="719476.3125"	y="227884.7031"
x="718929.0"	y="229240.0"
x="717968.625"	y="233431.7031"
x="718138.5"	y="233105.0938"
x="718193.5"	y="233063.5"
x="722007.3125"	y="231204.4063"
x="692398.625"	y="240293.7031"
x="690470.125"	y="239532.4063"
x="690712.5"	y="240698.9063"
x="690218.1875"	y="238852.2969"
x="691423.3125"	y="238344.7031"
x="691853.1875"	y="238198.5938"
x="693377.125"	y="237789.7031"
x="689283.3125"	y="239246.5"
x="694084.5"	y="238119.7031"
x="695186.3125"	y="237690.2969"
x="694623.3125"	y="239631.7969"
x="696177.3125"	y="237741.9063"
x="696289.5"	y="238134.2031"
x="697450.5"	y="233901.5"
x="696954.125"	y="236298.7031"
x="697469.625"	y="235608.9063"
x="699695.5"	y="237020.5938"
x="699945.1875"	y="237259.4063"
x="700067.5"	y="237743.0938"
x="700428.1875"	y="237787.4063"
x="701045.3125"	y="237801.2031"
x="703027.8125"	y="237950.9063"
x="703667.875"	y="237655.4063"
x="704233.0"	y="237154.7031"
x="704695.0"	y="237000.0938"
x="705185.625"	y="237134.7031"
x="706382.0"	y="237310.5938"
x="700459.5"	y="237315.4063"
x="702333.0"	y="235984.2969"
x="704231.125"	y="236048.5"
x="704483.625"	y="236181.9063"
x="704636.875"	y="236485.2969"
x="696094.625"	y="238312.2969"
x="696840.3125"	y="238650.0938"
x="698415.875"	y="238363.0938"
x="698463.875"	y="238323.9063"
x="702717.8125"	y="239487.5"
x="703534.6875"	y="238133.5938"
x="707886.875"	y="233080.5938"
x="713565.8125"	y="235200.0938"
x="712644.3125"	y="236036.7031"
x="714020.875"	y="234237.7031"
x="713517.1875"	y="233844.4063"
x="711541.625"	y="236552.0938"
x="715185.5"	y="235932.5"
x="715634.125"	y="235727.7031"
x="715230.8125"	y="236048.0938"
x="717188.0"	y="235426.2969"
x="689858.875"	y="245814.2031"
x="691883.3125"	y="242869.9063"
x="690073.625"	y="247155.4063"
x="690014.1875"	y="246030.0938"
x="690033.125"	y="245651.2969"
x="690661.3125"	y="247348.7969"
x="689122.6875"	y="246424.5"
x="695347.625"	y="241621.9063"
x="693333.375"	y="243711.7031"
x="693052.3125"	y="244024.7031"
x="690668.625"	y="247364.2031"
x="699690.125"	y="241939.2969"
x="698965.5"	y="242454.5938"
x="698722.0"	y="242835.7969"
x="696620.6875"	y="240609.4063"
x="695233.8125"	y="241511.0"
x="691583.625"	y="248394.2031"
x="688302.8125"	y="247878.5938"
x="680144.625"	y="254683.5938"
x="680841.5"	y="254555.7969"
x="678998.0"	y="257035.2031"
x="679087.125"	y="258578.9063"
x="679942.5"	y="257769.7969"
x="687210.0"	y="261859.2031"
x="687361.0"	y="261789.7031"
x="687926.8125"	y="261025.2969"
x="688941.5"	y="260276.7969"
x="688968.625"	y="258314.4063"
x="692925.0"	y="255154.2344"
x="698070.625"	y="247896.5938"
x="699102.1875"	y="249489.4063"
x="700694.3125"	y="244341.0"
x="700464.375"	y="244573.0"
x="706573.0"	y="243280.4063"
x="707146.3125"	y="243730.7031"
x="707286.6875"	y="245390.2969"
x="706947.625"	y="241582.2031"
x="707130.375"	y="241420.9063"
x="708400.5"	y="240835.7969"
x="706458.0"	y="239806.0"
x="706438.0"	y="240046.7969"
x="704416.625"	y="238889.7031"
x="709042.375"	y="243483.5"
x="708192.3125"	y="240301.0"
x="708041.625"	y="239713.2969"
x="708091.125"	y="239447.2031"
x="710324.5"	y="237257.7969"
x="711478.875"	y="237260.0"
x="709813.625"	y="238291.5"
x="709272.0"	y="238608.2969"
x="709296.5"	y="244299.4063"
x="707390.6875"	y="243700.7969"
